Population,Other_Weapon,Destructive_Device,Machinegun,Silencer,Barreled_Rifle,Barreled_Shotgun,Total_Weapons,Incidents,#Killed,#Injured
4903185.0,1228.0,80726.0,29757.0,46902.0,7214.0,2438.0,168265.0,5471.0,1880.0,2998.0
731545.0,332.0,5346.0,1674.0,9250.0,2503.0,1415.0,20520.0,1349.0,267.0,325.0
7278717.0,1365.0,108692.0,17841.0,55099.0,19124.0,2696.0,204817.0,2328.0,1094.0,1096.0
3017804.0,651.0,70179.0,5657.0,26804.0,4279.0,1231.0,108801.0,2842.0,773.0,1347.0
39512223.0,4113.0,299766.0,30173.0,15131.0,13354.0,14129.0,376666.0,16306.0,5562.0,7644.0
5758736.0,1045.0,50349.0,7377.0,41983.0,10008.0,1929.0,112691.0,3201.0,796.0,1133.0
3565278.0,973.0,13647.0,41920.0,13731.0,3567.0,1039.0,74877.0,3067.0,341.0,1258.0
973764.0,35.0,3324.0,542.0,388.0,357.0,635.0,5281.0,1685.0,217.0,853.0
21477737.0,3881.0,216851.0,45893.0,118097.0,38216.0,9643.0,432581.0,15029.0,3909.0,7072.0
10617423.0,2113.0,80158.0,33743.0,82003.0,16238.0,11738.0,225993.0,8925.0,2456.0,4056.0
1415872.0,34.0,7794.0,435.0,259.0,70.0,73.0,8665.0,289.0,63.0,85.0
1787065.0,648.0,21792.0,4899.0,26773.0,4136.0,549.0,58797.0,661.0,166.0,149.0
12671821.0,1033.0,107116.0,30893.0,2729.0,4204.0,1723.0,147698.0,17556.0,3409.0,13514.0
6732219.0,1703.0,45691.0,20185.0,47950.0,8827.0,9238.0,133594.0,5852.0,1608.0,2956.0
3155070.0,898.0,17203.0,3697.0,12074.0,1576.0,1092.0,36540.0,2517.0,273.0,821.0
2913314.0,733.0,24573.0,3691.0,19677.0,4584.0,1151.0,54409.0,2145.0,542.0,931.0
4467673.0,1140.0,33595.0,17818.0,33903.0,5278.0,1985.0,93719.0,4157.0,1066.0,1894.0
4648794.0,586.0,56603.0,7294.0,42611.0,7401.0,1903.0,116398.0,8103.0,2179.0,4398.0
1344212.0,589.0,3611.0,5141.0,5014.0,2540.0,515.0,17410.0,907.0,112.0,132.0
6045680.0,1074.0,55663.0,34026.0,27421.0,6184.0,3921.0,128289.0,5798.0,1691.0,3167.0
6892503.0,859.0,17682.0,6876.0,9210.0,4263.0,996.0,39886.0,5981.0,472.0,1701.0
9986857.0,1216.0,28265.0,16650.0,29220.0,6501.0,1503.0,83355.0,6136.0,1588.0,2990.0
5639632.0,2695.0,50767.0,8556.0,29485.0,5939.0,1143.0,98585.0,2408.0,461.0,916.0
2976149.0,468.0,17499.0,4588.0,24925.0,3864.0,1002.0,52346.0,3599.0,1176.0,1883.0
6137428.0,1488.0,34637.0,10051.0,31121.0,8176.0,2797.0,88270.0,6631.0,2136.0,3585.0
1068778.0,454.0,4423.0,2416.0,13635.0,1994.0,554.0,23476.0,638.0,154.0,136.0
1934408.0,779.0,7608.0,2303.0,15414.0,2785.0,864.0,29753.0,1651.0,225.0,674.0
3080156.0,1017.0,41134.0,15313.0,26140.0,10247.0,2971.0,96822.0,1952.0,799.0,951.0
1359711.0,462.0,5225.0,17545.0,29866.0,5676.0,567.0,59341.0,964.0,88.0,144.0
8882190.0,433.0,45241.0,36756.0,2526.0,2666.0,2595.0,90217.0,5387.0,1168.0,2540.0
2096829.0,319.0,84787.0,4086.0,12218.0,3644.0,782.0,105836.0,1645.0,495.0,543.0
19453561.0,1769.0,48178.0,13384.0,4707.0,7076.0,7803.0,82917.0,9712.0,1705.0,5059.0
10488084.0,995.0,98302.0,15549.0,49977.0,13080.0,3306.0,181209.0,8739.0,2225.0,4629.0
762062.0,202.0,3404.0,1630.0,12712.0,1473.0,299.0,19720.0,573.0,69.0,130.0
11689100.0,1991.0,87146.0,21431.0,46939.0,11984.0,6328.0,175819.0,10244.0,2508.0,5703.0
3956971.0,1213.0,17846.0,9510.0,45710.0,6941.0,1892.0,83112.0,3455.0,941.0,1550.0
4217737.0,1603.0,24670.0,6597.0,32843.0,7433.0,1576.0,74722.0,2286.0,446.0,694.0
12801989.0,2385.0,161645.0,20997.0,57200.0,15660.0,13540.0,271427.0,8929.0,2395.0,5056.0
1059361.0,41.0,3516.0,644.0,91.0,254.0,109.0,4655.0,895.0,63.0,346.0
5148714.0,708.0,40330.0,10934.0,35945.0,7223.0,4143.0,99283.0,6939.0,1610.0,3084.0
884659.0,376.0,4245.0,1990.0,23132.0,1163.0,228.0,31134.0,544.0,90.0,114.0
6829174.0,1756.0,48750.0,14328.0,39935.0,10149.0,6222.0,121140.0,7626.0,1824.0,4478.0
28995881.0,7410.0,275529.0,39903.0,330806.0,62504.0,9216.0,725368.0,13577.0,5046.0,6106.0
3205958.0,504.0,18154.0,7572.0,58448.0,7190.0,1572.0,93440.0,1072.0,282.0,402.0
623989.0,232.0,3067.0,1421.0,2177.0,655.0,164.0,7716.0,472.0,57.0,73.0
8535519.0,2983.0,224550.0,38532.0,60811.0,21420.0,8667.0,356963.0,5949.0,1459.0,3566.0
7614893.0,1965.0,52180.0,4525.0,48010.0,12109.0,1040.0,119829.0,3434.0,853.0,1287.0
1792147.0,471.0,20948.0,7084.0,9627.0,2379.0,1142.0,41651.0,1575.0,335.0,649.0
5822434.0,797.0,33621.0,8138.0,29333.0,6400.0,1350.0,79639.0,4787.0,862.0,2117.0
578759.0,322.0,119982.0,1915.0,9902.0,1528.0,401.0,134050.0,494.0,73.0,52.0
